Belgium;181;2016
Czech Republic;41;2016
Netherlands;153;2016
Azerbaijan;117;2016
Hungary;108;2016
Italy;124;2016
Isreal;135;2016
Bulgaria;307;2016
Sweden;261;2016
Germany;11;2016
France;257;2016
Poland;229;2016
Australia;511;2016
Cyprus;96;2016
Serbia;115;2016
Lithuania;200;2016
Croatia;73;2016
Russia;491;2016
Spain;77;2016
Latvia;132;2016
Ukraine;534;2016
Malta;153;2016
Georgia;104;2016
Austria;151;2016
United Kingdom;62;2016
Armenia;249;2016
Slovenia;39;2015
France;4;2015
Israel;97;2015
Estonia;106;2015
United Kingdom;5;2015
Armenia;34;2015
Lithuania;30;2015
Serbia;53;2015
Norway;102;2015
Sweden;365;2015
Cyprus;11;2015
Australia;196;2015
Belgium;217;2015
Austria;0;2015
Greece;23;2015
Montenegro;44;2015
Germany;0;2015
Poland;10;2015
Latvia;186;2015
Romania;35;2015
Spain;15;2015
Hungary;19;2015
Georgia;51;2015
Azerbaijan;49;2015
Russia;303;2015
Albania;34;2015
Italy;292;2015
Ukraine;113;2014
Belarus;43;2014
Azerbaijan;33;2014
Iceland;58;2014
Norway;88;2014
Romania;72;2014
Armenia;174;2014
Montenegro;37;2014
Poland;62;2014
Greece;35;2014
Austria;290;2014
Germany;39;2014
Sweden;218;2014
France;2;2014
Russia;89;2014
Italy;33;2014
Slovenia;9;2014
Finland;72;2014
Spain;74;2014
Switzerland;64;2014
Hungary;143;2014
Malta;32;2014
Denmark;74;2014
Netherlands;238;2014
San Marino;14;2014
United Kingdom;40;2014
France;14;2013
Lithuania;17;2013
Moldova;71;2013
Finland;13;2013
Spain;8;2013
Belgium;71;2013
Estonia;19;2013
Belarus;48;2013
Malta;120;2013
Russia;174;2013
Germany;18;2013
Armenia;41;2013
Netherlands;114;2013
Romania;65;2013
United Kingdom;23;2013
Sweden;62;2013
Hungary;84;2013
Denmark;281;2013
Iceland;47;2013
Azerbaijan;234;2013
Greece;152;2013
Ukraine;214;2013
Italy;126;2013
Norway;191;2013
Georgia;50;2013
Ireland;5;2013
